order_id,order_date,region,category,product,quantity,sales_inr,profit_inr
PE00794,2026-05-11,Guntur,Wellness & Nutrition,Calcium + D3 Tablets,2,1676.18,245.17
PE00866,2026-05-06,Vijayawada,Prescription Medicines,Insulin Pen,2,1038.78,93.37
PE01308,2026-05-21,Guntur,OTC Medicines,Cough Syrup 100ml,2,208.5,33.89
PE00702,2026-05-24,Karimnagar,Medical Devices,Digital BP Monitor,2,2663.42,236.55
PE00252,2026-04-03,Hyderabad,OTC Medicines,Cough Syrup 100ml,4,212.28,36.14
PE00047,2026-04-02,Visakhapatnam,Prescription Medicines,Insulin Pen,1,180.79,17.57
PE00003,2026-04-10,Warangal,Wellness & Nutrition,Multivitamin Tablets,1,767.1,115.54
PE01203,2026-05-17,Bengaluru,Prescription Medicines,Insulin Pen,5,1903.2,344.16
PE01536,2026-06-22,Warangal,Personal Care,Antiseptic Liquid,5,2326.55,497.06
PE01038,2026-05-13,Vijayawada,Prescription Medicines,Metformin 500mg,3,1549.98,200.0
PE01177,2026-05-20,Bengaluru,Medical Devices,Digital BP Monitor,5,10434.0,2196.54
PE01672,2026-06-07,Nellore,Wellness & Nutrition,Fish Oil Capsules,3,3648.33,788.85
PE00949,2026-05-07,Hyderabad,OTC Medicines,ORS Sachet,5,489.25,83.89
PE00072,2026-04-13,Vijayawada,Medical Devices,Nebulizer,3,2561.16,494.03
PE00809,2026-05-26,Guntur,Medical Devices,Pulse Oximeter,4,2368.08,268.41
PE00841,2026-05-25,Tirupati,Medical Devices,Glucometer Kit,4,10595.08,1715.71
PE01522,2026-06-21,Guntur,Prescription Medicines,Amlodipine 5mg,1,141.74,20.0
PE01872,2026-06-05,Vijayawada,Personal Care,Hand Sanitizer 500ml,1,379.76,38.91
PE00307,2026-04-17,Vijayawada,OTC Medicines,Antacid Tablets,1,171.89,22.64
PE00232,2026-04-04,Nellore,OTC Medicines,Cough Syrup 100ml,3,421.35,40.78
PE02012,2026-06-28,Guntur,Medical Devices,Glucometer Kit,2,4392.12,885.46
PE01549,2026-06-17,Hyderabad,Personal Care,Sunscreen SPF50,2,1045.46,154.31
PE00375,2026-04-10,Vijayawada,Prescription Medicines,Azithromycin 500mg,3,1827.45,298.33
PE00192,2026-04-12,Visakhapatnam,OTC Medicines,Cetirizine 10mg,4,206.52,35.02
PE00142,2026-04-09,Guntur,Prescription Medicines,Azithromycin 500mg,1,338.81,41.12
PE01201,2026-05-19,Tirupati,Medical Devices,Glucometer Kit,3,1922.58,349.38
PE00558,2026-04-01,Warangal,Lab Tests,Thyroid Profile,5,4778.5,969.66
PE00492,2026-04-19,Visakhapatnam,Wellness & Nutrition,Fish Oil Capsules,4,2431.12,316.69
PE01325,2026-05-21,Vijayawada,OTC Medicines,Paracetamol 500mg,4,633.52,137.03
PE01825,2026-06-12,Bengaluru,Personal Care,Face Wash,1,355.45,77.03
PE01044,2026-05-14,Nellore,OTC Medicines,ORS Sachet,1,52.51,8.05
PE00412,2026-04-02,Visakhapatnam,Prescription Medicines,Metformin 500mg,3,343.74,69.24
PE00542,2026-04-16,Tirupati,OTC Medicines,Cetirizine 10mg,4,376.16,80.92
PE00607,2026-04-14,Warangal,Prescription Medicines,Insulin Pen,2,985.58,110.77
PE00573,2026-04-28,Warangal,Medical Devices,Glucometer Kit,1,2728.04,407.42
PE00597,2026-04-06,Bengaluru,Wellness & Nutrition,Fish Oil Capsules,5,6432.7,996.87
PE00223,2026-04-29,Visakhapatnam,Wellness & Nutrition,Multivitamin Tablets,4,5445.32,740.41
PE01220,2026-05-27,Tirupati,Personal Care,Hand Sanitizer 500ml,2,353.32,30.73
PE00666,2026-04-22,Warangal,Medical Devices,Pulse Oximeter,3,1822.59,316.79
PE00723,2026-05-07,Hyderabad,Medical Devices,Glucometer Kit,5,15645.1,1406.45
PE01170,2026-05-11,Guntur,Prescription Medicines,Atorvastatin 10mg,1,553.79,57.2
PE00985,2026-05-31,Hyderabad,Medical Devices,Glucometer Kit,2,4994.06,795.85
PE00897,2026-05-16,Bengaluru,OTC Medicines,Antacid Tablets,5,751.75,153.26
PE01858,2026-06-06,Warangal,Prescription Medicines,Metformin 500mg,2,984.76,207.65
PE00993,2026-05-31,Nellore,Prescription Medicines,Azithromycin 500mg,3,1579.62,223.29
PE01306,2026-05-26,Vijayawada,OTC Medicines,Cough Syrup 100ml,2,436.36,68.05
PE01936,2026-06-14,Hyderabad,Wellness & Nutrition,Calcium + D3 Tablets,4,2504.32,271.11
PE00992,2026-05-12,Tirupati,Personal Care,Face Wash,3,1479.18,265.11
PE01996,2026-06-03,Hyderabad,Prescription Medicines,Metformin 500mg,5,2273.95,408.19
PE01382,2026-05-09,Hyderabad,OTC Medicines,Cough Syrup 100ml,4,404.0,40.98
PE00539,2026-04-04,Hyderabad,Lab Tests,Full Body Checkup,3,3912.45,372.74
PE01137,2026-05-30,Nellore,Prescription Medicines,Atorvastatin 10mg,1,648.99,118.63
PE00586,2026-04-07,Vijayawada,Prescription Medicines,Insulin Pen,2,461.44,52.06
PE00277,2026-04-14,Guntur,Wellness & Nutrition,Immunity Booster Syrup,1,283.87,52.8
PE00714,2026-05-21,Guntur,Wellness & Nutrition,Fish Oil Capsules,5,6371.3,859.64
PE00469,2026-04-14,Vijayawada,Medical Devices,Digital BP Monitor,4,5713.36,728.36
PE00913,2026-05-10,Guntur,Lab Tests,Vitamin D Test,5,8262.15,1656.22
PE01915,2026-06-23,Hyderabad,Wellness & Nutrition,Whey Protein 1kg,3,2558.52,297.41
PE01845,2026-06-19,Vijayawada,Lab Tests,Full Body Checkup,4,3386.08,326.68
PE00823,2026-05-23,Warangal,Wellness & Nutrition,Fish Oil Capsules,2,1444.54,276.28
PE01004,2026-05-10,Karimnagar,Wellness & Nutrition,Fish Oil Capsules,3,2955.48,427.19
PE01163,2026-05-26,Warangal,OTC Medicines,Cough Syrup 100ml,3,493.35,70.32
PE00822,2026-05-30,Guntur,Medical Devices,Nebulizer,3,8510.64,990.84
PE01796,2026-06-21,Guntur,Personal Care,Baby Diaper Pack,1,457.28,70.59
PE00685,2026-04-28,Visakhapatnam,Prescription Medicines,Atorvastatin 10mg,3,1593.51,348.21
PE01689,2026-06-20,Nellore,Medical Devices,Pulse Oximeter,3,1439.4,153.84
PE01234,2026-05-09,Guntur,Prescription Medicines,Insulin Pen,1,278.48,53.71
PE00453,2026-04-01,Hyderabad,Wellness & Nutrition,Multivitamin Tablets,2,1482.76,270.98
PE00927,2026-05-09,Visakhapatnam,Prescription Medicines,Metformin 500mg,1,279.4,26.46
PE00138,2026-04-21,Hyderabad,Wellness & Nutrition,Multivitamin Tablets,3,1571.07,208.66
PE01636,2026-06-10,Warangal,Prescription Medicines,Amlodipine 5mg,5,1427.2,150.54
PE00389,2026-04-03,Nellore,,Sunscreen SPF50,2,215.6,41.95
PE01288,2026-05-22,Tirupati,Prescription Medicines,Amlodipine 5mg,4,928.0,193.28
PE01283,2026-05-07,Warangal,OTC Medicines,Cetirizine 10mg,5,1035.15,128.59
PE01338,2026-05-31,Bengaluru,Prescription Medicines,Insulin Pen,2,913.3,152.23
PE00892,2026-05-19,Visakhapatnam,OTC Medicines,ORS Sachet,1,127.07,13.29
PE00910,2026-05-23,Hyderabad,Prescription Medicines,Atorvastatin 10mg,1,194.95,42.24
PE00630,2026-04-30,Visakhapatnam,Prescription Medicines,Atorvastatin 10mg,5,1512.25,304.16
PE00411,2026-04-08,Hyderabad,Prescription Medicines,Metformin 500mg,3,1639.74,196.49
PE01690,2026-06-29,Hyderabad,OTC Medicines,ORS Sachet,2,283.12,37.46
PE00380,2026-04-07,Warangal,Prescription Medicines,Amlodipine 5mg,2,693.6,129.58
PE01340,2026-05-02,Hyderabad,OTC Medicines,Cough Syrup 100ml,4,466.44,55.24
PE00404,2026-04-15,Nellore,Personal Care,Sunscreen SPF50,5,2492.15,453.53
PE01673,2026-06-07,Tirupati,OTC Medicines,Paracetamol 500mg,1,131.14,14.25
PE00960,2026-05-18,Tirupati,Prescription Medicines,Azithromycin 500mg,1,295.52,34.27
PE01885,2026-06-26,Hyderabad,OTC Medicines,Paracetamol 500mg,2,358.94,78.18
PE01364,2026-05-22,Nellore,,Atorvastatin 10mg,5,1697.9,157.02
PE01821,2026-06-06,Visakhapatnam,OTC Medicines,ORS Sachet,2,370.44,80.57
PE00806,2026-05-25,Guntur,Prescription Medicines,Azithromycin 500mg,2,598.5,90.76
PE00370,2026-04-24,Guntur,Prescription Medicines,Azithromycin 500mg,3,1380.48,266.1
PE01030,2026-05-31,Hyderabad,Lab Tests,HbA1c Test,4,2391.64,334.35
PE00054,2026-04-16,Nellore,OTC Medicines,Cetirizine 10mg,1,214.63,37.58
PE01485,2026-06-14,Vijayawada,OTC Medicines,Cough Syrup 100ml,1,48.62,8.7
PE00352,2026-04-07,Vijayawada,Personal Care,Hand Sanitizer 500ml,3,975.45,149.4
PE00673,2026-04-13,Warangal,OTC Medicines,Paracetamol 500mg,1,118.85,16.52
PE01107,2026-05-05,Hyderabad,OTC Medicines,ORS Sachet,3,620.58,118.12
PE01415,2026-06-05,Hyderabad,OTC Medicines,Antacid Tablets,1,96.1,7.94
PE01318,2026-05-03,Hyderabad,OTC Medicines,ORS Sachet,3,546.48,56.26
PE00840,2026-05-26,Bengaluru,Personal Care,Antiseptic Liquid,5,1312.05,178.89
PE01050,2026-05-27,Guntur,OTC Medicines,Antacid Tablets,4,591.12,103.61
PE02041,2026-06-02,Hyderabad,Lab Tests,HbA1c Test,2,2925.92,237.31
PE01986,2026-06-09,Guntur,Lab Tests,HbA1c Test,2,3396.78,403.18
PE02080,2026-06-06,Bengaluru,Wellness & Nutrition,Fish Oil Capsules,5,5392.0,1048.98
PE00982,2026-05-06,Bengaluru,OTC Medicines,Cough Syrup 100ml,1,69.81,10.85
PE00881,2026-05-07,Bengaluru,Wellness & Nutrition,Multivitamin Tablets,2,1551.22,296.11
PE00172,2026-04-30,Hyderabad,Wellness & Nutrition,Multivitamin Tablets,2,1882.0,239.52
PE01518,2026-06-08,Bengaluru,OTC Medicines,Cough Syrup 100ml,5,586.55,125.87
PE01553,2026-06-07,Hyderabad,OTC Medicines,Cough Syrup 100ml,2,394.24,41.92
PE00125,2026-04-17,Hyderabad,OTC Medicines,Cetirizine 10mg,3,612.57,56.26
PE01745,2026-06-23,Visakhapatnam,Wellness & Nutrition,Calcium + D3 Tablets,1,886.01,130.31
PE00200,2026-04-23,Guntur,OTC Medicines,Antacid Tablets,4,834.28,123.81
PE01067,2026-05-06,Bengaluru,Wellness & Nutrition,Immunity Booster Syrup,1,1357.37,122.4
PE01351,2026-05-15,Karimnagar,OTC Medicines,Paracetamol 500mg,4,609.96,83.42
PE00119,2026-04-08,Bengaluru,Prescription Medicines,Azithromycin 500mg,5,966.0,102.79
PE01945,2026-06-05,Vijayawada,Personal Care,Sunscreen SPF50,4,970.28,92.95
PE01667,2026-06-01,Nellore,OTC Medicines,Cough Syrup 100ml,2,179.74,21.2
PE01916,2026-06-14,Hyderabad,Lab Tests,Full Body Checkup,1,1111.75,186.94
PE01741,2026-06-28,Guntur,OTC Medicines,Cough Syrup 100ml,3,136.38,18.13
PE00691,2026-04-20,Nellore,Prescription Medicines,Azithromycin 500mg,1,117.82,19.43
PE00920,2026-05-31,Warangal,Prescription Medicines,Metformin 500mg,2,308.94,45.51
PE00434,2026-04-09,Visakhapatnam,OTC Medicines,ORS Sachet,1,59.25,7.4
PE01594,2026-06-06,Hyderabad,Personal Care,Face Wash,3,1234.71,173.39
PE00236,2026-04-19,Tirupati,Prescription Medicines,Atorvastatin 10mg,4,798.92,125.3
PE00983,2026-05-27,Hyderabad,OTC Medicines,ORS Sachet,5,230.95,47.72
PE00281,2026-04-28,Warangal,OTC Medicines,Paracetamol 500mg,4,718.88,107.15
PE00061,2026-04-26,Vijayawada,Wellness & Nutrition,Calcium + D3 Tablets,2,2719.86,257.54
PE01372,2026-05-23,Hyderabad,Wellness & Nutrition,Fish Oil Capsules,5,3116.95,571.37
PE00708,2026-05-12,Tirupati,OTC Medicines,Antacid Tablets,1,217.59,25.18
PE02057,2026-06-22,Guntur,Medical Devices,Nebulizer,4,2160.88,471.94
PE01761,2026-06-19,Hyderabad,Wellness & Nutrition,Calcium + D3 Tablets,4,1552.68,177.39
PE01464,2026-06-17,Bengaluru,Prescription Medicines,Atorvastatin 10mg,4,1121.72,157.63
PE00193,2026-04-02,Hyderabad,Lab Tests,Lipid Profile,5,4416.05,931.66
PE00197,2026-04-10,Bengaluru,OTC Medicines,Paracetamol 500mg,4,224.84,24.33
PE00930,2026-05-15,Hyderabad,Wellness & Nutrition,Whey Protein 1kg,5,2684.25,252.77
PE00882,2026-05-07,Bengaluru,OTC Medicines,Antacid Tablets,5,850.15,125.78
PE00618,2026-04-01,Hyderabad,Medical Devices,Glucometer Kit,1,747.49,63.26
PE00911,2026-05-01,Warangal,OTC Medicines,Cetirizine 10mg,3,537.66,74.85
PE01360,2026-05-28,Bengaluru,Prescription Medicines,Azithromycin 500mg,4,1196.88,120.34
PE01136,2026-05-03,Visakhapatnam,OTC Medicines,Cetirizine 10mg,3,273.96,23.74
PE00103,2026-04-14,Visakhapatnam,Medical Devices,Digital BP Monitor,4,3673.56,726.83
PE00505,2026-04-22,Guntur,Wellness & Nutrition,Calcium + D3 Tablets,3,2483.76,460.1
PE00870,2026-05-08,Vijayawada,OTC Medicines,ORS Sachet,3,542.49,70.24
PE01960,2026-06-18,Bengaluru,OTC Medicines,Paracetamol 500mg,4,222.84,32.01
PE01267,2026-05-23,Warangal,Personal Care,Baby Diaper Pack,1,299.96,52.26
PE00216,2026-04-01,Bengaluru,,ORS Sachet,3,611.61,97.37
PE00160,2026-04-15,Hyderabad,Prescription Medicines,Amlodipine 5mg,4,582.96,55.25
PE02009,2026-06-06,Guntur,OTC Medicines,Antacid Tablets,1,61.28,9.6
PE00423,2026-04-03,Karimnagar,Prescription Medicines,Metformin 500mg,3,957.45,136.37
PE00523,2026-04-23,Warangal,Wellness & Nutrition,Calcium + D3 Tablets,3,3943.95,589.34
PE01122,2026-05-20,Guntur,Medical Devices,Nebulizer,4,5791.08,1196.83
PE00699,2026-04-29,Tirupati,Wellness & Nutrition,Immunity Booster Syrup,3,3340.95,309.44
PE01671,2026-06-02,Hyderabad,OTC Medicines,Cough Syrup 100ml,5,485.0,56.46
PE00964,2026-05-01,Bengaluru,Wellness & Nutrition,Fish Oil Capsules,1,807.43,73.42
PE01001,2026-05-16,Guntur,Prescription Medicines,Metformin 500mg,1,167.12,28.7
PE00187,2026-04-25,Guntur,OTC Medicines,Cetirizine 10mg,3,136.77,12.91
PE01389,2026-05-13,Bengaluru,Wellness & Nutrition,Multivitamin Tablets,5,5057.4,944.72
PE01580,2026-06-04,Visakhapatnam,Prescription Medicines,Metformin 500mg,5,1086.7,193.37
PE01725,2026-06-17,Hyderabad,Prescription Medicines,Atorvastatin 10mg,1,543.02,64.29
PE00276,2026-04-16,Vijayawada,Prescription Medicines,Insulin Pen,1,152.94,12.79
PE00916,2026-05-01,Guntur,Wellness & Nutrition,Calcium + D3 Tablets,4,4470.36,373.08
PE01156,2026-05-08,Tirupati,Wellness & Nutrition,Fish Oil Capsules,3,2016.81,167.69
PE01712,2026-06-12,Tirupati,Medical Devices,Digital BP Monitor,5,4522.05,515.35
PE01008,2026-05-30,Hyderabad,Medical Devices,Pulse Oximeter,4,4749.88,727.01
PE01397,2026-05-25,Warangal,Wellness & Nutrition,Multivitamin Tablets,4,5471.76,751.89
PE00251,2026-04-04,Hyderabad,Lab Tests,Vitamin D Test,1,1422.76,309.2
PE00179,2026-04-18,Hyderabad,Personal Care,Baby Diaper Pack,4,513.88,85.18
PE01627,2026-06-18,Vijayawada,OTC Medicines,Cetirizine 10mg,3,480.66,50.71
PE00839,2026-05-12,Hyderabad,OTC Medicines,Paracetamol 500mg,5,687.3,148.56
PE00224,2026-04-08,Hyderabad,OTC Medicines,Cough Syrup 100ml,3,165.15,13.33
PE00080,2026-04-27,Vijayawada,Wellness & Nutrition,Immunity Booster Syrup,4,4916.12,725.66
PE01566,2026-06-06,Guntur,Lab Tests,Vitamin D Test,2,1052.64,203.58
PE01891,2026-06-18,Nellore,Lab Tests,Vitamin D Test,5,7245.8,708.98
PE00961,2026-05-28,Warangal,Personal Care,Face Wash,5,1225.4,259.1
PE00745,2026-05-06,Bengaluru,Prescription Medicines,Atorvastatin 10mg,2,964.32,94.72
PE01571,2026-06-23,Nellore,Wellness & Nutrition,Fish Oil Capsules,1,725.77,157.4
PE01782,2026-06-12,Karimnagar,OTC Medicines,Antacid Tablets,5,624.75,70.64
PE01216,2026-05-25,Vijayawada,Personal Care,Baby Diaper Pack,5,648.75,84.68
PE01182,2026-05-09,Warangal,Personal Care,Sunscreen SPF50,4,1188.68,209.83
PE01726,2026-06-21,Guntur,OTC Medicines,Cough Syrup 100ml,5,393.75,61.98
PE01422,2026-06-07,Vijayawada,OTC Medicines,Cetirizine 10mg,3,450.45,85.47
PE01410,2026-06-13,Bengaluru,Medical Devices,Digital BP Monitor,3,1972.53,333.49
PE01277,2026-05-02,Nellore,Wellness & Nutrition,Immunity Booster Syrup,3,2405.46,362.31
PE01832,2026-06-28,Bengaluru,OTC Medicines,Paracetamol 500mg,4,434.6,35.25
PE01435,2026-06-20,Vijayawada,Prescription Medicines,Azithromycin 500mg,3,1803.6,349.67
PE00511,2026-04-03,Bengaluru,Prescription Medicines,Azithromycin 500mg,5,1417.1,152.77
PE00447,2026-04-02,Vijayawada,Prescription Medicines,Metformin 500mg,1,647.09,53.54
PE00053,2026-04-11,Bengaluru,Prescription Medicines,Atorvastatin 10mg,5,2562.7,388.62
PE01585,2026-06-09,Warangal,Personal Care,Face Wash,5,1387.8,234.42
PE00328,2026-04-29,Visakhapatnam,OTC Medicines,Cough Syrup 100ml,2,174.08,21.34
PE00651,2026-04-06,Warangal,Prescription Medicines,Azithromycin 500mg,5,804.9,127.67
PE01312,2026-05-08,Hyderabad,OTC Medicines,Paracetamol 500mg,4,644.56,81.93
PE00021,2026-04-23,Guntur,Personal Care,Antiseptic Liquid,2,673.06,98.41
PE01194,2026-05-05,Bengaluru,OTC Medicines,Cetirizine 10mg,2,162.94,20.0
PE00550,2026-04-02,Guntur,Prescription Medicines,Azithromycin 500mg,3,1157.25,184.4
PE01369,2026-05-22,Hyderabad,Prescription Medicines,Atorvastatin 10mg,1,641.16,118.65
PE00059,2026-04-18,Guntur,OTC Medicines,ORS Sachet,3,194.49,35.7
PE01526,2026-06-04,Warangal,OTC Medicines,Cough Syrup 100ml,1,48.42,10.34
PE01289,2026-05-12,Guntur,Personal Care,Face Wash,2,201.48,29.74
PE00869,2026-05-03,Warangal,Personal Care,Antiseptic Liquid,5,2053.15,355.1
PE00885,2026-05-30,Hyderabad,Medical Devices,Glucometer Kit,3,2986.86,406.56
PE00860,2026-05-25,Hyderabad,Prescription Medicines,Amlodipine 5mg,5,1929.75,259.0
PE01065,2026-05-02,Bengaluru,Wellness & Nutrition,Immunity Booster Syrup,2,1756.84,168.67
PE01816,2026-06-04,Hyderabad,Prescription Medicines,Metformin 500mg,5,1117.6,230.87
PE00733,2026-05-26,Warangal,OTC Medicines,Cetirizine 10mg,3,292.02,56.07
PE00634,2026-04-25,Bengaluru,OTC Medicines,Antacid Tablets,2,205.52,31.53
PE00680,2026-04-02,Warangal,OTC Medicines,Cetirizine 10mg,3,253.41,32.25
PE01914,2026-06-06,Tirupati,Lab Tests,Vitamin D Test,5,3729.75,400.15
PE00894,2026-05-14,Bengaluru,OTC Medicines,Cough Syrup 100ml,1,95.28,12.03
PE01808,2026-06-26,Hyderabad,OTC Medicines,Paracetamol 500mg,1,215.32,32.09
PE01058,2026-05-18,Vijayawada,Prescription Medicines,Atorvastatin 10mg,2,996.02,174.13
PE01605,2026-06-25,Tirupati,OTC Medicines,Cough Syrup 100ml,1,183.45,20.43
PE01125,2026-05-06,Guntur,Personal Care,Antiseptic Liquid,1,375.46,65.08
PE01651,2026-06-04,Tirupati,OTC Medicines,Cetirizine 10mg,1,145.05,25.16
PE00015,2026-04-17,Hyderabad,Wellness & Nutrition,Immunity Booster Syrup,4,4716.6,745.68
PE01472,2026-06-15,Tirupati,OTC Medicines,Paracetamol 500mg,1,194.86,24.13
PE00998,2026-05-25,Tirupati,Wellness & Nutrition,Multivitamin Tablets,1,858.45,138.8
PE01253,2026-05-04,Vijayawada,Wellness & Nutrition,Multivitamin Tablets,4,4097.52,335.21
PE00602,2026-04-17,Karimnagar,OTC Medicines,Cough Syrup 100ml,3,436.74,63.86
PE01229,2026-05-24,Warangal,Wellness & Nutrition,Whey Protein 1kg,1,1267.99,234.54
PE01429,2026-06-24,Hyderabad,Personal Care,Hand Sanitizer 500ml,1,293.74,30.96
PE00829,2026-05-04,Visakhapatnam,Personal Care,Face Wash,5,825.5,174.84
PE01684,2026-06-26,Bengaluru,Medical Devices,Digital BP Monitor,5,10845.5,2051.04
PE00931,2026-05-23,Visakhapatnam,Prescription Medicines,Metformin 500mg,1,560.44,55.29
PE00560,2026-04-01,Bengaluru,Prescription Medicines,Atorvastatin 10mg,1,551.07,73.61
PE01428,2026-06-20,Bengaluru,Personal Care,Antiseptic Liquid,2,162.94,24.05
PE01723,2026-06-23,Hyderabad,OTC Medicines,ORS Sachet,1,133.84,22.32
PE00117,2026-04-04,Bengaluru,Personal Care,Baby Diaper Pack,3,1251.3,184.69
PE01092,2026-05-11,Bengaluru,Wellness & Nutrition,Immunity Booster Syrup,4,4048.96,862.74
PE01459,2026-06-10,Vijayawada,OTC Medicines,Cetirizine 10mg,2,203.36,34.79
PE01931,2026-06-25,Warangal,OTC Medicines,Cough Syrup 100ml,2,116.62,16.09
PE01733,2026-06-17,Bengaluru,Prescription Medicines,Azithromycin 500mg,2,843.92,180.29
PE01638,2026-06-14,Hyderabad,OTC Medicines,Cetirizine 10mg,5,728.5,95.83
PE00481,2026-04-15,Hyderabad,Prescription Medicines,Metformin 500mg,5,3185.0,259.85
PE01528,2026-06-03,Visakhapatnam,Personal Care,Hand Sanitizer 500ml,4,1423.72,152.7
PE00057,2026-04-10,Karimnagar,Medical Devices,Thermometer,2,1602.28,220.27
PE01021,2026-05-25,Bengaluru,Personal Care,Sunscreen SPF50,5,1070.15,195.84
PE01160,2026-05-25,Karimnagar,Wellness & Nutrition,Fish Oil Capsules,2,1651.08,286.16
PE00267,2026-04-10,Hyderabad,Prescription Medicines,Metformin 500mg,5,1553.45,330.56
PE01899,2026-06-10,Visakhapatnam,OTC Medicines,Antacid Tablets,2,330.52,41.33
PE00118,2026-04-23,Visakhapatnam,Prescription Medicines,Azithromycin 500mg,2,628.04,95.44
PE00701,2026-05-13,Bengaluru,Prescription Medicines,Azithromycin 500mg,5,1488.5,163.42
PE00084,2026-04-03,Hyderabad,Wellness & Nutrition,Fish Oil Capsules,5,3647.95,558.33
PE01515,2026-06-09,Tirupati,OTC Medicines,Paracetamol 500mg,4,782.24,117.06
PE01425,2026-06-12,Vijayawada,Lab Tests,Full Body Checkup,1,955.62,180.44
PE00432,2026-04-07,Hyderabad,Wellness & Nutrition,Fish Oil Capsules,1,938.22,141.31
PE01496,2026-06-04,Hyderabad,Wellness & Nutrition,Calcium + D3 Tablets,1,485.42,101.74
PE01275,2026-05-21,Guntur,OTC Medicines,ORS Sachet,3,656.34,102.99
PE00308,2026-04-24,Visakhapatnam,Prescription Medicines,Azithromycin 500mg,2,1025.74,108.09
PE01898,2026-06-23,Warangal,OTC Medicines,Antacid Tablets,2,99.7,17.24
PE01740,2026-06-20,Vijayawada,OTC Medicines,Paracetamol 500mg,2,102.18,10.79
